График функции 
Число точек 	20	
    -1.00000	     0.00469	     0.00000	
    -0.95000	     0.00624	     0.82552	
    -0.90000	     0.00835	     0.78318	
    -0.85000	     0.01122	     0.74155	
    -0.80000	     0.01512	     0.70065	
    -0.75000	     0.02041	     0.66046	
    -0.70000	     0.02759	     0.62099	
    -0.65000	     0.03731	     0.58221	
    -0.60000	     0.05048	     0.54412	
    -0.55000	     0.06833	     0.50669	
    -0.50000	     0.09252	     0.46992	
    -0.45000	     0.12535	     0.43375	
    -0.40000	     0.16991	     0.39813	
    -0.35000	     0.23047	     0.36301	
    -0.30000	     0.31286	     0.32825	
    -0.25000	     0.42509	     0.29370	
    -0.20000	     0.57815	     0.25905	
    -0.15000	     0.78716	     0.22377	
    -0.10000	     1.07291	     0.18673	
    -0.05000	     1.46404	     0.14461	
